地域,サービス提供期間,年齢,結婚状態,現住所居住期間,世帯収入,教育レベル,現職就業期間,退職,性別,家族構成人数,無料長距離電話サービス,通信装置レンタル,コールカードサービス,ワイヤレスサービス,前月の長距離サービス利用量,前月の無料長距離電話サービス利用量,前月の通信装置のレンタル利用量,前月のコールカードサービス利用量,前月のワイヤレスサービス利用量,全期間の長距離サービス利用量,全期間の無料長距離電話サービス利用量,全期間の通信装置のレンタル利用量,全期間のコールカードサービス利用量,全期間のワイヤレスサービス利用量,複数回線の有無,ヴォイスメールサービス,呼び出しサービス,インターネットサービス,発信者番号通知サービス,通話中着信サービス,着信転送サービス,三者通話サービス,電子請求サービス,log(前月の長距離サービス利用量）,log(前月の無料長距離電話サービス利用量）,log(前月の通信装置のレンタル利用量）,log(前月のコールカードサービス利用量）,log(前月のワイヤレスサービス利用量）,log(世帯収入),顧客区分,Churn
Zone 2,13,44,Married,9,64,College degree,5,No,Male,2,No,No,Yes,No,3.7,0,0,7.5,0,37.45,0,0,110,0,No,No,No,No,No,No,Yes,No,No,1.308333,,,2.014903,,4.158883,Basic service,Yes
Zone 3,11,33,Married,7,136,Post-undergraduate degree,5,No,Male,6,Yes,No,Yes,Yes,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1.481605,3.032546,,2.72458,3.575151,4.912655,Total service,Yes
Zone 3,68,52,Married,24,116,Did not complete high school,29,No,Female,2,Yes,No,Yes,No,18.15,18,0,30.25,0,1300.6,1247.2,0,2150,0,No,No,No,No,Yes,Yes,No,Yes,No,2.898671,2.890372,,3.409496,,4.75359,Plus service,No
Zone 2,33,33,Unmarried,12,33,High school degree,0,No,Female,1,No,No,No,No,9.45,0,0,0,0,288.8,0,0,0,0,No,No,No,No,No,No,No,No,No,2.246015,,,,,3.496508,Basic service,Yes
Zone 2,23,30,Married,9,30,Did not complete high school,2,No,Male,4,No,No,No,No,6.3,0,0,0,0,157.05,0,0,0,0,No,No,No,No,Yes,No,Yes,Yes,No,1.84055,,,,,3.401197,Plus service,No
Zone 2,41,39,Unmarried,17,78,High school degree,16,No,Female,1,Yes,No,Yes,No,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,No,No,No,No,Yes,Yes,No,No,No,2.4681,2.957511,,2.60269,,4.356709,Plus service,No
Zone 3,45,22,Married,2,19,High school degree,4,No,Female,5,No,No,Yes,No,10.9,0,0,8.75,0,504.5,0,0,415,0,Yes,No,No,Yes,No,Yes,No,No,Yes,2.388763,,,2.169054,,2.944439,E-service,Yes
Zone 2,38,35,Unmarried,5,76,High school degree,10,No,Male,3,Yes,Yes,Yes,Yes,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1.800058,3.806662,3.914021,3.146305,4.172848,4.330733,Total service,No
Zone 3,45,59,Married,7,166,College degree,31,No,Male,5,Yes,No,Yes,No,9.75,28.5,0,12,0,449.05,1240.15,0,505,0,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2.277267,3.349904,,2.484907,,5.111988,Plus service,No
Zone 1,68,41,Married,21,72,Did not complete high school,22,No,Male,3,No,No,Yes,No,24.15,0,0,16.5,0,1659.7,0,0,1155,0,Yes,No,No,No,No,No,No,No,No,3.184284,,,2.80336,,4.276666,E-service,No
Zone 2,5,33,Unmarried,10,125,College degree,5,No,Female,1,No,Yes,No,No,4.85,0,26.15,0,0,17.25,0,110.1,0,0,No,No,Yes,Yes,No,No,No,No,Yes,1.578979,,3.263849,,,4.828314,Basic service,Yes
